downloadFormats,downloads,lyrics,mainArtist,music,song,url,videoURI,visits
"HD,WMV,MP4",9561,Amila Ruwan Nandasena,Sandeep Jayalath,Chathurangana De Silva,Muthu Ahura Theme Song - Sandeep Jayalath,www.fmderana.lk/sinhala-music-videos/1693/muthu-ahura-theme-song-sandeep-jayalath,https://www.youtube.com/embed/CEeBPmXi1gI?rel=0,31974
,,,Samudra Umayanga,,Sanda Sema - Samudra Umayanga,,,
"HD,WMV,MP4",1603,Mahesh Nuwa,Manoja Nimsara,Pasan Liyanage,Hithumathe - Manoja Nimsara,www.fmderana.lk/sinhala-music-videos/1699/hithumathe-manoja-nimsara,https://www.youtube.com/embed/3ts4xlX0R7E?rel=0,3819
"HD,WMV,MP4",2872,Shehan Galahitiyawa,Various Artists,Dilshan Liyanapathirana,Derana Fair & Lovely Star City 20-20 Theme Song - Various Artists,www.fmderana.lk/sinhala-music-videos/1698/derana-fair-amp-lovely-star-city-20-20-theme-song-various-artists,https://www.youtube.com/embed/k7nl_cWQY6g?rel=0,14960
"HD,WMV,MP4",1325,Sajitha Madubashan,Sajitha Madubhashana,Beat Sounds,Unmadini - Sajitha Madubhashana,www.fmderana.lk/sinhala-music-videos/1700/unmadini-sajitha-madubhashana,https://www.youtube.com/embed/w0cXlVSxj48?rel=0,3868
"HD,WMV,MP4",926,Susantha Dandeniya,Steffnie De Silva,Kavindu Basnayake,Math Mage Hitha Hadagannam (Cover Version) - Steffnie De Silva,www.fmderana.lk/sinhala-music-videos/1701/math-mage-hitha-hadagannam-cover-version-steffnie-de-silva,https://www.youtube.com/embed/HxkttroJv74?rel=0,3973
"HD,WMV,MP4",823,Rasindu T. Disanayake,Rasindu T Dissanayaka,Amila Muthugala,Sithakata Sewanak - Rasindu T Dissanayaka,www.fmderana.lk/sinhala-music-videos/1702/sithakata-sewanak-rasindu-t-dissanayaka,https://www.youtube.com/embed/V2ylJGsPo3M?rel=0,2369
"HD,WMV,MP4",1431,Shashi D. Thilakarathne,Shashi D Thilakarathne,Vijitha Jayarathne,Ridena Hitha Asse - Shashi D Thilakarathne,www.fmderana.lk/sinhala-music-videos/1703/ridena-hitha-asse-shashi-d-thilakarathne,https://www.youtube.com/embed/84EUA6Ir8r8?rel=0,3522
"HD,WMV,MP4",1543,Charith Dew Dewapriya,Chamika Samarasinghe,Asadithaya,Giniyam Rata - Chamika Samarasinghe,www.fmderana.lk/sinhala-music-videos/1704/giniyam-rata-chamika-samarasinghe,https://www.youtube.com/embed/zNjft2DIko4?rel=0,3453
"WMV,MP4",978,Shehan Galahitiyawa,Ranil Priyankara ft Amila Muthugewa,Priyantha Nawalage,Ane Thaama Man Thanikada - Ranil Priyankara ft Amila Muthugewa,www.fmderana.lk/sinhala-music-videos/1705/ane-thaama-man-thanikada-ranil-priyankara-ft-amila-muthugewa,https://www.youtube.com/embed/2eYZYZB3RW8?rel=0,3016
