artist,genre,guitarKey,lyrics,music,postedBy,song,visits,writer
Karunaratna Divulgane,New Pop, F minor ,",|Fm |Cm |Fm | - |
|Ab |Bb |Fm |Eb |
|Eb |Fm |Cm |Fm |,Fm            Cm
පෙම් කවක් ලියූ නුඹ සිත් අහසේ 
    Cm    Eb              Fm
එය මකා දමා ගිය හැටි රහසේ
    F                Bb
නුඹ මෙතෙක් රැදී උන් මා මනසේ
     Fm          Eb           Cm       Fm
පෙම් පුරාවතක්.., නිමා කරන්නද මා කෙලෙසේ
|Fm|Cm|and repeat

VERSE 1
    Fm      Db     Ab   Fm
නුඹ යන්නම යන්නම යනවානම්
    Cm     Eb     Db         Ab(Fm|Cm|-|Fm)
මට ඉන්න කියන්නට බැහැනෙ ඉතින්//
    Ab       Bb     Ab
යලි එන්නනම එන්නම හිතුනේ නම්
    Ab    Cm               Fm
නුඹ එන්න එපා මගෙ හිත තහනම්,VERSE 2
    Fm      Db     Ab   Fm
හුරතලෙන් දැවටිලා මගේ ලඟින්
    Cm     Eb     Db      Ab(Fm|Cm|-|Fm)
දුන් සතුට එපමණද මට පවසම්//
    Ab       Bb      Ab
සඳ එලිය පොළොවටයි හිමිවූයේ
    Ab    Cm               Fm
සඳ අහසෙ රැදුනාට රත්තරනේ,,,|Fm |Cm |Fm | - |
|Ab |Bb |Fm |Eb |
|Eb |Fm |Cm |Fm |,|Fm | - |Cm | - |
|Cm |Eb | - |Fm |
| F | - |Bb | - |
|Fm | + |Eb | - |
|Cm |Fm |,|
     Repeat

VERSE 
|Fm |Db |Ab |Fm |
|Cm |Eb |Db |Ab |
|,|
|Fm |Db |Ab |Fm |
|Cm |Eb |Db |Ab |
|Ab |Bb |Ab | - |
|Ab |Cm | - |Fm |,",Nandasena Katuwala,Harsha Jayamanne,පෙම් කවක් ලියූ,672,Suramya Mapitiya
Dinesh Nakalanda,"Old Pops,Request", E minor ,",|Em | - | C | - |
|Am | - | D |Em |,Em                 D
පෙම් කලත් සිතින් දයාවී ලංවෙන්න බෑ ප්‍රියාවී
    C     B7    Em
අහිමියි ඔබේ ආදරේ
     Em     G        Am    D              G
අපෙ පෙම ගැනත් ලතාවේ ලෝකයා අදත් කතාවේ
     D            C       B     Em
නොසිතන් ලඳේ අහිතක් මේ මා කෙර්,|Em | - | C | - |
|Am | - | D |Em |
| D | - | G | E |
|Am | - | D |Em |
| C | - |Em | - |
|C/G/Am | D | - |,Em               G
පැතුවාට ජීවිතේදී එක් වේද මේ භවේදී
    Am                          G  |Em
මිහි මඬළ සඳ සේ අපි දුරයි අපි දුරයි
   Am           D        Em          G
පරිශුද්ධ චේතනාවෝ ගෙන ආව වේදනා වෝ
     D            C       B     Em
නොසිතන් ලඳේ අහිතක් මේ මා කෙර්,,Em                    G
වියලුනු දෙතොල් පිපාසේ සනසන අමා ජලාසේ
    Am                          G    |Em
කිසිදාක සොඳුරෙ හමු නොවේ හමු නොවේ
   Am             D        Em            G
සෙවනැල්ල සේ යන පාරේ ඔබ ඉන්න හැම වාරේ
     D            C       B     Em
නොසිතන් ළඳේ අහිතක් මේ මා කෙරේ,,,|Em | - | C | - |
|Am | - | D |Em |,|Em | - | - | - |
| D | - | - | - |
| C | - |B7 | - |
|Em | - | - | - |
|Em | G |Am | - |
| D | - | G | - |
| D | - | C | B |,|Em | - | C | - |
|Am | - | D |Em |
| D | - | G | E |
|Am | - | D |Em |
| C | - |Em | - |
|C/G/Am | D | - |,|Em | - | - | - |
| G | - | - | - |
|Am | - | - | - |
| G | - |Em | - |
|Am | - | D | - |
|Em | - | G | - |
| D | - | C | B |,",Unknown,Harsha Jayamanne,පෙම් කලත් සිතින්,"2,087",Unknown
A.M.Rajah,"Duets,Golden Oldies,Movie Songs,Request", C# major ,",|Ab |C# |
|Ab |F# |Ab7|C# |,C#             Ab7     C#      
පෙම් කැකුළ පිපී එන විට මහදේ
    Ab7    Ab7/C#
එය පරව ගියා 
F#            Ab7       C# Ab7       C#|Ab7
මා හෙළා මේ දුක් අන්ධකාරේ.. අන්ධකාරේ//
before repeat (|C# |F# |Ab7|C# |),|F# | - |C# |Ab |
|F# | - | - |C# |,C#        Bbm      C#    C#7
බෝ කෲරයි අහෝ ලොව ධර්මේ
    F#        Ab7       C#|-|Ab7|C#|
මිල කළේ ඇයිදෝ ඔබ ප්‍රේමේ//
   C#              Ab7     C#      
මා පියඹ සුදෝ ඔබ තනිකර දා
    Ab7    Ab7/C#
මට යන්ට වුණේ
F#         Ab7     C#  Ab7       C#|Ab7
මා දුගී නිසයි මේ සමාජේ මේ සමාජේ,,C#        Bbm       C#  C#7
ඔබෙ බිළිඳා මා තුරුළෙ හොවාලා
    F#        Ab7       C#|-|Ab7|C#|
නළවන්ටයි මා උන්නෙ බල බලා ...//
   C#              Ab7     C#      
ඒ පැතුම මෙමා හද පතුලෙ නැගී
    Ab7    Ab7/C#
අද නිසරු වුණේ
F#        Ab7      C#    Ab7       C#|Ab7
කෲර වූ නිසයි මේ සමාජේ මේ සමාජේ,,C#     Bbm    C#    C#7
හඳ පායා සුනීල වූ අඹරේ
    F#      Ab7    C#|-|Ab7|C#|
ගිලුණා සේ වලාකුළු අඳුරේ ...//
    C#              Ab7     C#      
අප හදෙහි නැගී පෙම් එලෙස ගියා
    Ab7    Ab7/C#
අඳුරෙහි ගිලිලා
F#         Ab7    C#   Ab7       C#|Ab7
නිෂ්ඵලයි ජීවත්වීම ලෝකේ දුෂ්ට ලෝකේ,,,|Ab |C# |
|Ab |F# |Ab7|C# |,|C# |  - |Ab7 |C# |
|Ab7|Ab7/C#|F#|Ab7|
|C# |Ab7 | C# |Ab7|
|C# |F#  | Ab7|C# |
|C# |  - |Ab7 |C# |
|Ab7|Ab7/C#|F#|Ab7|
|C# |Ab7 | C# | - |,|F# | - |C# |Ab |
|F# | - | - |C# |,| C# |Bbm| 
|C# |C#7 | F# |Ab7|
|C# | -  | Ab7|C# |
|C# |Bbm | C# |C#7|
|F# |Ab7 | C# | - |
|C# |  - |Ab7 |C# |
|Ab7|Ab7/C#|F#|Ab7|
|C# |Ab7 | C# | - |,",S.Dakshinamoorthi,Harsha Jayamanne,පෙම් කැකුළ පිපී,783,Ananda Samarakoon
Milton Perera,Golden Pop,,,Unknown,Harsha Jayamanne,පෙම් අප්සරාවෝ,"2,187",Karunarathna Abeysekara
Somathilaka Jayamaha,Golden Pop, G major ,",| G | - |Am | - |
|G/D| C | G | - |,G 
පොඩි දුවගේ සිනා වැලයි
D
පොඩි පුතුගේ කතා පෙලයි
D           C
ප්‍රිය බිරිදගෙ සෙනේ විලයි
D          D7         G
මගේ නිවන මගේ පැල්පතයි,G
කටු මැටි ගැ බිත්ති පුරා
Am
පළිඟු මැණික් එළිය දිලේ
D
ගොම මැටි ගෑ ගෙබිම මගේ
G                  1st(|G|C/G|)
පියවිලි බුමුතුරු ව‍‍ගේ//,,G
ලබන නමුත් දුක් පීඩා
Am
කූඩු වුනොත් පුංචි පැලේ
D
අඹුදරුවන් අතර තුරේ
G                  1st(|G|C/G|)
මට නිම්නැති සුවය දැනේ,,,| G | - |Am | - |
|G/D| C | G | - |,| G | - | D | - |
| D | C | D |D7 |
| G | - |,| G | - |Am | - |
| D | - | G | - |
| G |C/G| G | - | 
|Am | - | D | - |
| G | - | G | + |,",Rohana Weerasingha,Harsha Jayamanne,පොඩි දුවගේ සිනා,"1,449",Sunil Ariyarathna
Karunaratna Divulgane,New Pop, D minor ,",|Am | - | - | - |
| G | C |Em |Am |
|Am | F | G |Am |
|Am | G | F |Am |,Am
පායා නැගී ඒවි රන් තාරාකා
G       C         Em      Am
මා හා සිනාවෙන්නේ නෑ ආදරෙන්
Dm               C
දේදුන්න සේ ඈ මැකී වෙන්වෙලා
G                C     Am
නාඩා ඉතින් ඉන්න සේපාලිකා
Am    F    G    Am 
සේපාලිකා…සේපාලිකා,|Am | - | - | G |
| G | C |Em |Am |
|Am | - | F | G |
| G | C |Em |Am |
|Am | G | F |Am |
|Am |Dm | C |Am |,Am               G
දෙනුවන් වැසී ඈත තරු නෙත් මැකී
F     G        C  Dm         Am
තනිව හඬනා ‍රැයේ හදට දී වේදනා//
Dm                C
එක් වී ළඟින් ඉන්න ලංවී සිනාසෙන්න
G                 C     Am
දුර ඈත සිට එන්න සේපාලිකා
Am    F    G    Am 
සේපාලිකා...සේපාලිකා,,Am              G
රෑ මීදුමේ ගිලුණු තරුමල් ලෙසේ
F          G          C  Dm         Am
ඔබේ නෙත් පහන් දැල්වුනේ හදට දී වේදනා//
Dm             C
කඳුල පිසලන්න සතුට තවරන්න 
G                    C     Am
සුළඟක් ලෙසින් එන්න සේපාලිකා 
Am    F    G    Am 
සේපාලිකා..සේපාලිකා,,,|Am | - | - | - |
| G | C |Em |Am |
|Am | F | G |Am |
|Am | G | F |Am |,|Am | - | - | - |
| G | C |Em |Am |
|Dm | - | C | - |
| G | - | C |Am |
|Am | F | G |Am |,|Am | - | - | G |
| G | C |Em |Am |
|Am | - | F | G |
| G | C |Em |Am |
|Am | G | F |Am |
|Am |Dm | C |Am |",Cyril Perera,Harsha Jayamanne,පායා නැගී ඒවි | සේපාලිකා,827,Ubenanda Dissanayake
H.R.Jothipala,"Old Pops,Request",,"[the_ad id=’7373’],|Dm | - | - | - |
|Dm | - | - | - |
|C  | - |Dm | - |,|Dm | C |Dm | - |
|Dm | - |Bb | - |
|Gm | - |Bb | F |
| C | - | C | - |
|Dm | - |Dm | C |
|Dm | - |,|Dm | C |Dm |Bb |
|Bb | - | C | - |
|Dm | - | - | - |,|| C | - |Dm | - |
 |Dm |Bb | - | - ||
 | C | - |Gm | - |
 |C7 |Bb |A7 | - |
 | C | F |Dm | - |",Mohommad Sali,Harsha Jayamanne,පායා ඇයි,846,Aloy Gunawardhana
Victor Rathnayaka,Classics, F major ,",| F |Bb |
| F |Bb | F | - |
| F | - | C |C7 |
|Bb | F | F | C |
| F | C |Bb | F |,F                    C
පාවේ වලා ඈත කඳු බලා
C
පෑ ආදරේ අමා 
F      Am   F   C    F 
මා හද මවා මා හද මවා,|| F | C | F | - |
 | F | C | F | - ||,F           Dm          F
කඳුලැල්ලෙන් හසරැල්ලෙන් සිහින මැවෙනවා
F       Dm         F 
ජීවිතයේ මිහිරි සුවේ මහද නැගෙනවා
C              Bb    F     Bb    Bbm    F
ආලෝකෙ විහිදා සංකා නැසේ සුසුම් රැල් මැකේ
 Ab   Fm    C  F    C    F
නුවන් දිය සිඳේ පහන් පෙම දිලේ,| F | - | C | - |
| C |Dm |C7 | F |
| F | C |Bb | F |,F          Dm          F
හාදව පෙම් බැන්ද රුවින් පාළුව මැකුනා
F          Dm            F 
ආදර ලොව අන්ධ නොවේ දෙහදක නැගෙනා
C             Bb      F     Bb   Bbm    F
දෑසේ මැවේ ආදරේ මල් හිනා තුටින් පිරි ලොවේ
 Ab   Fm     C  F     C    F
සහන් එලි නැගේ පහන් පෙම දිලේ,D              D7    G
පාවේ වලා ඈත කඳු බලා
C
පෑ ආදරේ අමා 
F      Am   F   C    F 
මා හද මවා මා හද මවා,,| F |Bb |
| F |Bb | F | - |
| F | - | C |C7 |
|Bb | F | F | C |
| F | C |Bb | F |,| F | - | - | - |
| F | - | C | - |
| C | - | - | - |
| F | - |Am | - |
| F | C | F | - |,|| F | C | F | - |
 | F | C | F | - ||,|| F | - |Dm | - |
 | F | - | - | - ||
 | C | - |Bb | F |
 |Bb |Bbm| F | - |
 |Ab |Fm | C | - |
 | F | C | F | - |,| F | - | C | - |
| C |Dm |C7 | F |
| F | C |Bb | F |,| D | - | - |D7 |
| G | - | C | - |
| C | - | - | - |
| F | - |Am | - |
| F | C | F | - |",Mervin Perera,Harsha Jayamanne,පාවේ වලා,631,Meegoda Wilson
Annesley Malawana,"Duets,Golden Pop,Movie Songs", E major ,",| E | A |Abm|F#m|      
|| E |B7 | - | E ||
 | E |Ebm| - |C#m|
 |B7 | E |B7 | E |,E
පවුරු වළල්ලක් බැඳලා
E				   E7		 A
සතර වටේ අවි ගත් මුර සෙබළුන් යොදලා
B		          B7
පවුරු වළල්ලම බිඳලා
B7                  		 E
මං එන්නවා මුරකාවල් අතරින් මිදිලා,| E |B7 | - | E |
| E | B | A | E |
| E |F#m|B7 | E |,E            B
කවුළු දොරින් බලා ඉඳිමි
B           E‍
ඔබ එනතුරු බලා ඉඳිමි //
E         Ebm
ඇතින් පිය මනිනු දකිමි
Ebm         C#m
සුසුම් හෙලා හඬා වැටෙමි
B7		  E
සුසුම් හෙලා හඬා වැටෙමි,,E            B
නිරතුරු ඔබේ මුහුණ දකිමි
B            E‍
පෙම් සටනින් පැරද නොයමි //
E                Ebm
ලොවක් නොමැත අපිට අහිමි 
Ebm         C#m
ඔබ හා මිස තනිව නොයමි
B7		  E
ඔබ හා මිස තනිව නොයමි,,,| E | A |Abm|F#m|      
|| E |B7 | - | E ||
 | E |Ebm| - |C#m|
 |B7 | E |B7 | E |,| E | - | - | - |
| E | - |E7 | A |
| A | - | B | - |
|B7 | - |B7 | - |
|B7 | E |,| E |B7 | - | E |
| E | B | A | E |
| E |F#m|B7 | E |,|| E | B | - | E ||
 | E |Ebm| - |C#m|
 |B7 | E |,|,",Sarath Dasanayaka,Harsha Jayamanne,පවුරු වළල්ලක්,"1,031",Sunil Ariyarathna
Milton Mallawarachchi,"Golden Pop,Request", E minor ,",|Em |Eb+| D/C|Am |
|Co7|C/B|Em/D|C/B|,Em          G       C
පායා ආ සඳ අඳුරු වළාවෙන්
D       B    Em
මා ඉදිරියෙදිම වැසුනා
Em           G       C
සෝකය තාපය පාළුව අතරේ
D       B      Em
ඉකිබිඳ හැඬුවා ඇසුණා,| A | E |C#m| D |
| A | E |Bm | D |,Em      G  Em
හද විමනේ බිතු සිතුවම් 
C       Am       Em|2nd E|
කිලිටි කළේ ඔබෙ දෑතයි //
A                         Em
නොපැතු වියෝගයෙ මහ වරුසාවෙන්
G               C
දෑත දෙපය මගෙ සීතයි
D      B        Em
දෑත දෙපය මගෙ සීතයි,,Em      G  Em
ඔබ පැමිණී ඔබම ගියා 
C        Am       Em|2nd E|
නැවතුණ තැන මම ඉන්නම් //
A                       Em
මගෙ සහයෝගය පතන වෙලාවේ
G                  C
කොහි සිට හෝ යළි එන්නම්
D          B        Em
කොහි සිට හෝ යළි එන්නම්,,,|Em |Eb+| D/C|Am |
|Co7|C/B|Em/D|C/B|,||Em | - | G | C |
 | D | B |Em | - ||,|Em | - |Am | - |
| B |B7 |Em | - |
|Em | - | G |Em |,|Em | G |Em | - |
| C |Am |Em | - |
|Em | G |Em | - |
| C |Am |Em | E |
| A | - | - |Em |
| G | - | C | - |
| D | B |Em | - |,",M.K.Roksami,Harsha Jayamanne,පායා ආ සඳ,"4,185",Karunarathna Abeysekara
T.M.Jayarathna,Classics,,,Premasiri Khemadasa,Harsha Jayamanne,පවනට සැලෙනා,"2,934",Dharmasiri Bandaranayake
Priya Sooriyasena,,,,,,පැතුම් පිරීලා,,
Devananda Waidyasekara,"Classics,Duets",Key,",|Bb | F |Eb | F |
| F |Bb | F |Bb |
|Bb | - |Bb | C |
| F |F7 | - |Bb |,Bb               C
පවන් සුසුම් දැලින් වෙළී 
Eb               Bb
ශෘංගාර රාවේ නොසංගා
F                      Eb
නුවන් කොණින් සුපෙම් හැඟුම් 
F       F7      Bb
නින්නාද නැංවූ තරංගා
Bb                C
කුසුම් ළඳුන් බිඟුන් මුවින් 
Eb               Bb
අනුරාග ගී රාව නංවා
F                   Eb
ප්‍රසන්න වැව් තීරේ නැගේ 
F       F7      Bb
සංයෝග පෙම් ගී තරංගා,|Bb | - | F | - |
| F |Bb | - | - |,Bb                Bb7        Eb
පෙම් සීත වර්ෂාවෙ නිල් වැව් තලාවේ 
Eb                     Bb
අනුරාග හෝරාව එළඹී තිබේ
F     Bb       C7       F
මල්හාරියන් පෙම්වතුන් හා තුරුල් වී
F       F7      Bb
අභිෂේක යාමේ උදාවේ,,Bb                Bb7       Eb
මනමාලියක් වන්න සිහිනෙන් පැතූ පෑ
Eb                     Bb
අනුරාග හෝරාව එළඹී තිබේ
F       Bb       C7       F
මුව මී තෙපුල් රන් උරා බී සිනාසෙන්න
F       F7      Bb
අභිෂේක යාමේ උදාවේ,,|Bb | - |Bb | C |
| F |F7 | - |Bb |,|Bb | F |Eb | F |
| F |Bb | F |Bb |,,,|Bb | F |Eb | F |
| F |Bb | F |Bb |
|Bb | - |Bb | C |
| F |F7 | - |Bb |,||Bb | - | - | C |
 |Eb | - |Bb | - |
 | F | - | - |Eb |
 | F |F7 |Bb | - ||,|Bb | - | F | - |
| F |Bb | - | - |,|Bb | - |Bb7|Eb |
|Eb | - | - |Bb |
| F |Bb |C7 | F |
| F |F7 |Bb | - |,|Bb | - |Bb | C |
| F |F7 | - |Bb |,|Bb | F |Eb | F |
| F |Bb | F |Bb |,",Pandith Amaradewa,Harsha Jayamanne,පවන් සුසුම්,905,Dharmasiri Gamage
Clarence Wijewardena,Old Pops, F major ,,Clarence Wijewardena,Harsha Jayamanne,පැතුම් ලොවේ මුතු,412,Camilas Perera
Angelin Gunathilaka,"Duets,Movie Songs", Ab Major ,,Sarath Dasanayaka,Harsha Jayamanne,පාට පොදක්,"1,100",Ajantha Ranasinghe
H.R.Jothipala,Golden Pop, G Major ,,Sarath Wickrama,Harsha Jayamanne,පතනා දේ සුන්,720,Tissa Dias
Sunil Edirisinghe,New Pop, A minor ,",||Am | - | F | E ||
 | C | - | F | - |
 |Am | - | - | - |,Am                Dm          E7
පාට දේදුනු සේදිලා ඈත කඳු යායේ
F          G
සීත ‍රෑ සඳ පීදිලා
F   E7   Am    C   G   Am
නීල තරු යායේ නීල තරු යායේ,| F | + |Am | - |
|Am | F | E | - |
| F | - |Am | - |
| G | - | F | - |
|E7 |Am |,Am             G
ඈ ලවන් තෙරේ සෝ ගී සුසුම් නැඟේ
C            G       Am
මීදුම් වලා ලෙසින් පාවී ඈතින් හැපී බිඳේ,Am            G
මා නුවන් දියේ පීනා නැගෙන් සඳේ
C           G          Am
පායා දුරින් ඇදී ඈ මෙන් පාවී නොයන් සඳේ,,,||Am | - | F | E ||
 | C | - | F | - |
 |Am | - | - | - |,|Am | + |Am | - |
|Dm | - |E7 | - |
| F | - | G | - |
| F |E7 |Am | - |
| C | G |Am | - |,| F | + |Am | - |
|Am | F | E | - |
| F | - |Am | - |
| G | - | F | - |
|E7 |Am |,|Am | - | - | - |
| G | - | - | - |
| C | - | G | - |
|Am | - | - | - |
|Am | - |,",Rohana Weerasingha,Harsha Jayamanne,පාට දේදුනු,800,Kumaradasa Saputhanthri
H.R.Jothipala,"Classics,Movie Songs", A minor ,,P.L.A.Somapala,Harsha Jayamanne,මේ ගී කාටදැයි,"1,603",Karunarathna Abeysekara
,,,,,,,,
,,,,,,,,
,,,,,,,,
T.M.Jayarathna,"Classics,Old Pops",,,Premasiri Khemadasa,Harsha Jayamanne,මේ අයුරින් අපි,"3,083",Ajantha Ranasinghe
Damith Asanka,"Current Songs,Request", E minor ,"|Em | C | D |Em |,||Em | - | - | D |
 | D | - | - |Em ||
 |Em | - | C | - |
 | D | - |Em | - |
 |Em | C | D |Em |,Em         D        C          Em
මේ අනන්ත රාත්‍රියේ සඳේ නුඹ කොහේ
 Em        D          C            Em
තාරුකා කියන්නකෝ නිදන්නෙ ඈ කොහේ     
    Am          G
අඳුරේ ගිලී නොපෙනී ගියේ    
    D          Em
සුසුමයිලු මා ඇගේ     
     C             D
යුග නෙත් මගේ කඳුළින් තෙමී     
     C   D     Em
තනිවේද මා අනේ,Em      G       D       Em
ජීවිතේට මං කියූ තාරකාවියේ//
 Em         D
දැන් ඉතින් නුඹත් ගියා
 Bm   D     Em
කලුවරයි අනේ,,Em        G         D           Em
අම්බරේහි සඳ නොවී එළිය දුන් ලියේ// 
Em          D
දැන් ඉතින් නුඹත් ගියා
 Bm   D     Em
කලුවරයි අනේ,,|Em | C | D |Em |,||Em | - | - | D |
 | D | - | - |Em ||
 |Em | - | C | - |
 | D | - |Em | - |
 |Em | C | D |Em |,||Em | - | D | - |
 | C | - |Em | - ||
 |Am | - | G | - |
 | D | - |Em | - |
 | C | - | D | - |
 | C | D |Em | - |,||Em | - | G | - |
 | D | - |Em | - ||
 |Em | - | D | - |
 |Bm | D |Em | - |,",Thanuja Sanjaya,Harsha Jayamanne,මේ අනන්ත රාත්‍රියේ,"12,399",Thanuja Sanjaya
,,,,,,,,
,,,,,,,,
Indrani Perera,"Classics,Inspirational", G major ,",| + | + |
| C | G | F | - |
| F | C | G | - |
| G | - | G | F |
| F | - | C | G |
| + |,G       
මතකය ඇසුරින් සිහියට ගන්නට 
G      G7        C
නිතරම වෙහෙසුනෙමි
D              C
මට පමණක් ඒ පින නැත්තේ ඇයි 
D      D7      G (D/C)
නිරතුරු වැළපුනෙමී,D     C      G
අම්මා අම්මා යයි කීමට 
D                     G
කෙනෙක් නොමැත සොයමී
D                 C
පැහැදිලි නැති එක ඡායාවක් ඇත 
D      D7     G 
ඒ ඔබ බව දනිමී,G            
ඉස්සර දවසක උදැසනක ඔබ 
G     G7       C
මා නළවන්න ඇතී
D             C
මා හඬනා විට දුක ඉපදී මට 
D      D7      G (D/C)
ලේ කිරි දෙන්න ඇතී
G
මගෙ හිස පිරි මැද මගෙ ගත පිරි මැද 
G       G7        C
මුව සිප ගන්න ඇතී
D               C
ඔබ යන විට මා කැටුව යන්න නම් 
D      D7      G (D/C)
අමතක වෙන්න ඇතී,| G | - |Bm | - |
| C | - | G | D |
|Am | - |Cm | - |
| G |D7 | G | - |,,,| + | + |
| C | G | F | - |
| F | C | G | - |
| G | - | G | F |
| F | - | C | G |
| + |,| G | - | G | - |
| G |G7 | C | - |
| D | - | C | - |
| D |D7 | G | - |,(අම්මා යැයු කීමට)
| D | - | C | G |
| D | - | G | - |
| D | - | C | - |
| D |D7 | D | - |,|| G | - | G | - |
 | G |G7 | C | - |
 | D | - | C | - |
 | D |D7 | G | - ||
       2nd   |D/C|,| G | - |Bm | - |
| C | - | G | D |
|Am | - |Cm | - |
| G |D7 | G | - |,",Clarence Wijewardena,Harsha Jayamanne,මතකය ඇසුරින්,"1,705",Clarence Wijewardena
Chandralekha Perera,Duets, G major ,",|G/Em|Em |G/Em|Em |

        | G | - |
| G |F# | G | D | 
|Am |E7 |D7 | G |,G        D7       G 
මට මුළු ලොවම ඔබයි
G          D       G 
මගෙ මුළු ලොවම ඔබයි
Am             C 
සිනහව කඳුල ඔබයි
D      D7       G
ජය පැරදුමත් ඔබයි,| G |F# | G | D | 
|Am |E7 |D7 | G | 
| G |Ab+|Am |Bb+|
|G/D|Em |G/D| G |,G                 Em
ඔබ ලඟ නැති විට හිරු සඳු මිලිනව 
Am     D7     G
ලෝකය නවතිනවා.
G       Em   F#m    D7    G
සුසුමක සිරවී හදවත නවතිනවා
G       Em   A      D7    G
සුසුමක සිරවී හදවත නවතිනවා,,G                Em
ඔබ ලඟ නැතිවිට විකසිත වන ලොව
Am   D7       G
පිබිදී හිනැහෙනවා
G       Em      F#m     D7    G
හදගැඹ සහසක් මල් යලි පිඹිදෙනවා
G       Em      A       D7    G
හදගැඹ සහසක් මල් යලි පිඹිදෙනවා,,,|G/Em|Em |G/Em|Em |

        | G | - |
| G |F# | G | D | 
|Am |E7 |D7 | G |,| G |D7 | G | - |
| G | D | G | - | 
|Am | - | C | - |
| G |D7 | G | - |,| G |F# | G | D | 
|Am |E7 |D7 | G | 
| G |Ab+|Am |Bb+|
|G/D|Em |G/D| G |,| G | - |Em | - |
|Am |D7 | G | - | 
| G |Em |F#m|D7 |
| G | - | G |Em |
| A |D7 | G | + |,",Rohana Weerasingha,Harsha Jayamanne,මට මුළු ලොවම,946,Kularathna Ariyawansa
Milton Mallawarachchi,Old Pops,,,Clarence Wijewardena,Harsha Jayamanne,මට මෙන් ඔහුටද,"1,313",K.D.K.Dharmawardhana
Clarence Wijewardena,Old Pops, D major ,,Clarence Wijewardena,Harsha Jayamanne,මෑනියනේ,"1,444",Clarence Wijewardena
M.S.Fernando,Movie Songs, A minor ,",| Am | - |  - | G |
 |  G | - |  - | F |
 |  F | - |  E | - |
 |  E | - |  - | - |
 |Am/G|F/E|Dm/C|G/C|
|| Am | - |  - | - ||,Am                   Dm    Am
මැණිකෙ මම ආයෙ ගෙදර එනවා     
    Dm     E      Am
මට හරි කේන්ති යනවා//
Am
කොච්චර ආදරෙ කෙරුවත් මා ගැන අවිස්වාස වෙනවා
 Dm             C             E             Am
ඉවසල ඉවසල අන්තිමේදි මට හරි කේනති යනවා 
Am
ගහන්න බනින්න හිතට දුකයි මම ගෙදරින් පිටවෙනවා
 Dm                C                E              Am
මින් පසු එන්නැහැ කියල ගියත් මම ආයෙ ගෙදර එනවා,Am                       Dm               Am
වීලා බෙහොම දුක් වීලා ඈ අඬාවි ගියොතින් දමාලා     
Am                                     C     E       Am
හැමදාමත් මෙහෙම සිතාලා කොහොම ඉන්නද මම ඉවසාලා      
     Am             E          Dm             Am
මම යනවා යන්ඩ ඈ දාලා මගෙ ඉවසුම මට නැතිවීලා     
Am                            C       E       Am
ඈ ඇවිදින් මාව සොයාලා එක්කං යයි අඬා වැලපීලා,,Am                           Dm               Am
රෝස මලක් වගේ ඇගෙ මූනේ පින්බර පෙනුමයි මට ඕනේ     
Am                               C         E       Am 
තව ලස්සන මල් හමුවන්නේ රෝස මලයි මගේ හිත ගන්නේ      
Am                      E         Dm              Am 
වෙන මලක් සොයා මම යන්නෑ මේ මල වෙන කාටත්දෙන්නෑ     
Am                                C     E       Am
විපතක් කිසි දවසක වෙන්නෑ මගෙ ආදරෙ ඈ අඳුනන් නෑ,,,| Am | - |  - | G |
 |  G | - |  - | F |
 |  F | - |  E | - |
 |  E | - |  - | - |
 |Am/G|F/E|Dm/C|G/C|
|| Am | - |  - | - ||,|| Am | - |  - |Dm |
 | Am | - | Dm | E ||
 | Am | - | Am | - |
 | Am | - |  - | - |
 | Am | - | Dm | - |
 |  C | - |  E | - |
 | Am | - | Am | - |
 | Am | - |  - | - |
 | Am | - | Dm | - |
 |  C | - |  E | - |
|| Am | - |  - |Dm |
 | Am | - | Dm | E ||
 | Am | - |,| Am | - |  - | - |
 | Dm | - | Am | - |
 | Am | - | Am | - |
 |  C | E | Am | - |
 | Am | - |  E | - |
 | Dm | - | Am | - |
 | Am | - | Am | - |
 | C  | E | Am | - |,",P.L.A.Somapala,Harsha Jayamanne,මැණිකෙ මම ආයෙ,"1,219",M.S.Fernando
