artist,genre,guitarKey,lyrics,music,postedBy,song,visits,writer
Indrani Perera,"Calypso,Golden Pop", D major ,",| D | - | - | - |
| D | - | A | - |
| A | - | - | - |
|A7 | - | D | - |
| D | - |,D    A     D 			Em
දිල්හානී දුවනී නාඬා නිදියන්නේ 
A						
නිවසට සුරතල් ආලෝකය දී  
A     A7	   D
නාඬා නිදියන්නේ,D				
දෑත දෙපා සලමින් ඇය කරනා 
              Em
සුරතල් දැකගන්න 
A							
වාසනාව මට ගෙනදුන් දියණී  
A      A7	   D
සුරතල් දිල්හානී,,D							        
රන් ඔන්චිල්ලේ ඇයව හොවාලා 
             Em
පදවන්නට සිතුනා 
A		
රන් තැටියේ කිරි පැණි පුරවාලා 
A        A7	  D
ගෙන එන්නට සිතුනා
D							        
රන්වන් තටු ඇති සමනළයින් දැක 
                  Em
ඇයගෙ දෙතොල් පිපුණා 
A					
රන්වන් මුහුණේ ලස්සන දැකලා 
A     A7	   D
සිපගන්නට සිතුනා,| D | - |Bb | - | D | - |,,,| D | - | - | - |
| D | - | A | - |
| A | - | - | - |
|A7 | - | D | - |
| D | - |,| D | - | A | - |
| D | - | - | - |
| D | - | - | - |
|Em | - | - | - |
| A | - | - | - |
| A | - | - | - |
| A | - |A7 | - |
| D | - | - | - |,| D | - | - | - |
| D | - | - | - |
| D | - | - | - |
|Em | - | - | - |
| A | - | - | - |
| A | - | - | - |
| A | - |A7 | - |
| D | - | - | - |,| D | - |Bb | - |
| D | - |,",Clarence Wijewardena,Harsha Jayamanne,දිල්හානී දුවනී,"2,937",Clarence Wijewardena
M.S.Fernando,"Golden Pop,Movie Songs", C minor ,",|Cm | - | - | - |
|Cm | - | - | - |
|Cm | - | - | - |
|Ab | - |Cm | - |
|Cm | - | - | - |
|G7 | - |Cm | - |,Cm                     Cm     G7   Cm
මල් යහනාවකි ලෝකේ නැහැවෙයි චන්ද්‍රාලෝකේ
Cm
යන නොසිතු වෙලාවක වියැකී
  F7       G7      Cm
ජීවය තණ අග පිණි බිඳකී //
    Cm                     Cm     G7   Cm
මල් යහනාවකි ලෝකේ නැහැවෙයි චන්ද්‍රාලෝකේ,|Cm | - | - | - |
|Cm | - | - | - |
|Cm |Bb |Cm |Bb |
|Cm |G7 |Cm | - |
|Bb7| - |Ab | B |
|Bb7| - |Eb | - |,Eb
ඊයේ ගතවිය හෙට පැමිණී නැත අද පමණයි ඇත්තේ
Fm                 Bb7            Eb
අද පමණයි ඇත්තේ අද පමණයි ඇත්තේ
Eb
සඳ බැස යාවිද‍ ඉරු නැග ඒවිද එය ස්ථිර නැත්තේ
Fm                 Bb7            Eb
එය ස්ථිර නැත්තේ එය ස්ථිර නැත්තේ
Cm                Bb     Ab     Cm
සිතෙහි සතුට නැත සදහට පවතින්නේ
Cm                F7     G7      Cm|Bb|Ab|G|
ලැබුණු තැනදි ඇයි සිතමින් ළතවෙන්නේ,,|Cm | - | - | - |
|Cm | - | - | - |
|Gm | - | - | - |
|Eb | - | - | - |
|Cm | - | - | - |
|Fm | - |Bb | - |
|Bb | - |Bb7| - |
|Eb | - | - | - |,Eb
රන්වන් පැහැයෙන් රහසින් අමතන මීවිත අතට ගමු
Fm              Bb7         Eb
මීවිත අතට ගමු මීවිත අතට ගමු
Eb
මල් මදිරාවේ පෙම් සිළිලාරෙ රසවිද ඔකඳ වෙමු
Fm                Bb7         Eb
රසවිද ඔකඳ වෙමු රසවිද ඔකඳ වෙමු
Cm           Bb     Ab     Cm
පියා සලාගෙන කාලය පියඹනවා 
Cm            F7      G7      Cm|Bb|Ab|G|
පමා වුනෝතින් අප මග තනිවෙනවා,,Eb
අඬමින් ඉපදී අඬමින් පසු වී අඬමින් අප යන්නේ 
Fm                 Bb7         Eb
අඬමින් අප යන්නේ අඬමින් අප යන්නේ
Eb
එහෙනම් චුට්ටක් විනෝද වෙමු අපි 
Fm                  Bb7         Eb
ඇයි බල බල ඉන්නේ ඇයි බල බල ඉන්නේ
Cm              Bb     Ab     Cm
පළ නැත අවුරුදු සියයක් සුසුම් හෙලා
Cm           F7      G7      Cm|Bb|Ab|G|
දවසක් ජීවත් වෙමු අපි උදම් වෙලා,,,|Cm | - | - | - |
|Cm | - | - | - |
|Cm | - | - | - |
|Ab | - |Cm | - |
|Cm | - | - | - |
|G7 | - |Cm | - |,|Cm | - | - | - |
 |Cm |G7 |Cm | - |
||Cm | - | - | - |
 |F7 |G7 |Cm | - ||
 |Cm | - | - | - |
 |Cm |G7 |Cm | - |,|Cm | - | - | - |
|Cm | - | - | - |
|Cm |Bb |Cm |Bb |
|Cm |G7 |Cm | - |
|Bb7| - |Ab | B |
|Bb7| - |Eb | - |,||Eb | - | - | - |
 |Eb | - | - | - |
 |Fm | - | - | - |
 |Bb7| - |Eb | - ||
 |Cm | - |Bb |Ab |
 |Cm | - | - | - |
 |Cm | - |F7 |G7 |
 |Cm |Bb |Ab | G |,|Cm | - | - | - |
|Cm | - | - | - |
|Gm | - | - | - |
|Eb | - | - | - |
|Cm | - | - | - |
|Fm | - |Bb | - |
|Bb | - |Bb7| - |
|Eb | - | - | - |,",Shelton Perera,Harsha Jayamanne,මල් යහනාවකි ලෝකේ,823,Karunarathna Abeysekara
Angelin Gunathilaka,"Duets,Movie Songs", G major ,,M.K.Roksami,Harsha Jayamanne,මල් වැහි සීතල,668,Premakeerthi De Alwis
Athma Liyanage,New Pop, D major ,",||  D  |  -  |  A  |  -  |
 |  A  |  -  |  D  |  -  ||
 |  G  |  A  |  G  | A/D |,D                                                                      	 
මල් සිනා සලන්න මල් සිනා  
          D7	   G
තාරුකා දිලෙයි ඈත පායලා
 C    G   C     G	  D
ආදරෙන් - ආදරෙන් බලන්න මා දිහා//,D            Bm                    A				         
මල් පිපී පිපී රඟන්නෙ සිත් ලෙසේ  සුළඟේ වෙළී 
A	                            D				         
ලස්සනයි මලේ සැලේ නිසන්සලේ රෝස මල් වනේ //,D                 Bm                A				         
ඉන්න එක්වෙලා නොයන්න වෙන් වෙලා පියාසලා 
A	                            D				         
ආදරෙයි කියා කියන්න ළං වෙලා    සිනාසලා //,[the_ad id='5764'],||  D  |  -  |  A  |  -  |
 |  A  |  -  |  D  |  -  ||
 |  G  |  A  |  G  | A/D |,|  D  |  -  |  -  |  -  |
|  D  | D7  |  G  |  -  |
|  C  |  G  |  C  |  G  |
|  D  |  -  |,||  D  |  -  | Bm  |  -  |
 |  A  |  -  |  -  |  -  |
 |  A  |  -  |  D  |  -  ||",Unknown,Harsha Jayamanne,මල් සිනා,951,Unknown
Victor Rathnayaka,Old Pops, D major ,",| + | D |A7 | D |
| D | - |A7 | - |
|Em | D | - | - |
| A |A7 | D | - |,D              E
මල් පොකුරු පොකුරු ඇය එන මඟ
G          D
ඈ දෙසටම නැමීයන්
    A          A7
මල් අසිරි සිරිය ඇගෙ මුහුණින්
             D
මල් පොකුරට ලැබීයන්//,D          C        G            D
නිල්ල නිලන ගහකොල මත පින්න පිපීලා 
     A          A7          D
ඇගෙ පුංචි ටිකිරි පා වටකොට රංචු ගැසීලා
G                  A7       D 
පින්න පිපීලා ඇ ලඟ රංචු ගැහීලා
     A          A7          D
ඇගෙ පුංචි ටිකිරි පා වටකොට රංචු ගැසීලා,D          C          G        D
සිංදු කියන බමරු විලස ලංව නැමීලා
   A           A7      D
අයදින්න හිතයි ආදරයක් දෙන්න කියාලා
G                     A7        D 
ලංව නැමීලා සෙනෙහස දෙන්න කියාලා
   A           A7      D
අයදින්න හිතයි ආදරයක් දෙන්න කියාලා,,| + | D |A7 | D |
| D | - |A7 | - |
|Em | D | - | - |
| A |A7 | D | - |,| D | E | G | D |
|,| A |A7 |
|A7 | D |,|,| D | C | G | D |
| A |A7 | D | - |
| G | - |A7 | D |
| A |A7 | D | - |",Victor Rathnayaka,Harsha Jayamanne,මල් පොකුරු පොකුරු,"2,720",Ajantha Ranasinghe
Dayarathna Ranathunga,Old Pops, A minor ,",|Am | - | G | - |
 | F | - |Am | - |
 |Am | - | C | - |
|| G | - | F |Am ||,Am       (|Am/Dm|C/G|Am/Dm|Am|)
මල් පිපිලා 
Am              G     Dm     Am
මල් පිපිලා ජීවිත උයනේ මල් පිපිලා 
C     D  D7    G
ආත්මයේ දසන්තයේ සුවඳ ගලා 
F           Am      Am
ප්‍රාර්ථනා මල් පිපිලා// මල් පිපිලා,Am                   G        Am
මගෙ දෙතොලට ඔබෙ දෙකොපුල හිමි නැත 
Em     Am        C       Am
මගෙ දෑතට ඔබෙ රතැඟිලි හිමි නැත 
Em                     Am
එත් මගේ යුග දෙනෙතට උරුමයි 
C         Dm     Am   C
කම් නැත මියුලැසියේ 
Am      G        C        Dm      Am     
ඒ ඇති මට මගෙ නෙත් යුග පියෙන තුරා
Am      
මල් පිපිලා,,Am             G        Am
රෑ බඹරෙකු මා දකින වෙලාවක 
Em      Am     C       Am
මධු පිරි මලකට ඇදෙන වෙලාවක
Em                     Am
ආශා රැහැනින් හදවත පිබිදෙයි 
C         Dm     Am   C
කම් නැත මියුලැසියේ 
Am       G    C      Dm      Am     
සිහින ලොවේදී මා ඔබ දකින තුරා 
Am      
මල් පිපිලා,,,|Am | - | G | - |
 | F | - |Am | - |
 |Am | - | C | - |
|| G | - | F |Am ||,|Am | - |,|
 |,|Am |Am | - |
 |Am |  G |Dm |Am |
 | C |  D |D7 | G |
 | G |  - | F | - |
 |Am |  - | F | - |
 |Am |  - |Am | - |,|Am | - | G |Am |
|Em |Am | C |Am |
|Em | - | - |Am |
| C |Dm |Am | C |
|Am | G | C |Dm |
|Am | - |Am | - |,",Stanley M Fernando,Harsha Jayamanne,මල් පිපිලා,"1,100",Chandrasena Range
H.R.Jothipala,,,,,,මල් පිබිදෙන,,
Edward Jayakody,New Pop,,,Sarath De Alwis,Harsha Jayamanne,මල් මාලතී ලතා,731,Saman C Weerasinghe
H.R.Jothipala,Golden Pop, C major ,,M.K.Roksami,Harsha Jayamanne,මල් කැකුළී,"2,640",Ravilal Wimaladharma
Clarence Wijewardena,"Golden Pop,Group Songs,Request",Key,",|Em | - | C | - |
| C | - | A | - |
|Em | - | D | - |
|Em | - | - | - |,Em                 D
මහලු වියේ ගත මැලවී 
        C           Em
නැති බැරිවී තනි උන දා 
Em                D
අද දකිනා ඔය සිනහා 
           C         Em
ඔබේ දෙතොලේ පවතීදෝ,Em          B
මගෙ ඇසුරේ හිත මිතුරෝ 
        G         Em
මා හඳුනා හිනැහේදෝ
         C         D
මහළු වියේ නිවුන ළයේ 
         C          Em
රැඳෙන පැතුම් ඉටුවේදෝ,,Em          B
අවර ගිරේ හිරුද වගේ
         G         Em
හෙට දිනයේ ඇහැරේදෝ
         C         D
අද ඇසෙනා සොඳුරු කතා
       C          Em
එදින ඉතින් පවතීදෝ,,,|Em | - | C | - |
| C | - | A | - |
|Em | - | D | - |
|Em | - | - | - |,||Em | - | D | - |
 | C | - |Em | - ||,|Em | - | B | - |
| G | - |Em | - |
| C | - | D | - |
| C | - |Em | - |,",Super Golden Chimes,Harsha Jayamanne,මහලු වියේ ගත,295,Super Golden Chimes
